disease,symptom_token,impact
аппендицит,запор,0.5769466034990632
аппендицит,боль живот,0.454785684730875
аппендицит,температура,0.3452428985879507
аппендицит,потеря аппетит,0.2833721992379901
аппендицит,рвота диарея,0.27814252188142313
холицестит,вздутие,0.39674473135352617
холицестит,подреберье,0.35449861954734935
холицестит,право,0.2887823854920628
холицестит,тошнота,0.2646280750729178
холицестит,горечь,0.2557564793953593
эзофагит,изжога,0.9129378441677954
эзофагит,изжога отрыжка,0.267125393929934
эзофагит,возникновение изжога,0.255651488427848
эзофагит,глотание,0.25354724096265896
эзофагит,затруднение,0.24121121031866502
энтерит,болеть,0.45625417297074145
энтерит,живота,0.38401155472212767
энтерит,понос,0.3487836394172028
энтерит,диарея,0.32805991662311046
энтерит,животе,0.3117436032723933
язва,еда,0.4001045643402513
язва,веса,0.3146462241046435
язва,склонность,0.29896604978708524
язва,приём,0.29243101114981823
язва,тяжесть,0.26557365842687913
