реплика;класс
у меня болит голова;2
у меня болит живот;2
у меня болит зуб;2
у меня болит рука;2
у меня болит нога;2
у меня болит желудок;2
у меня болит живот;2
у меня стреляет в ухе;2
у меня кашель;2
у меня насморк;2
у меня температура;2
я чувствую слабость;2
у меня кружится голова;2
у меня повысилось давление, что делать?;2
у меня понизилось давление и кружится голова;2
болит левый бок;2
болит правый бок;2
болит сердце;2
есть ли в поликлиннике хирург?;2
получить направление;2
как вызвать врача на дом?;2
не знаю к какому врачу мне обратиться;2
расписание работы врача;2
на сайте нет нужного врача;2
кто ты?;1
а что ты умеешь?;1
у тебя есть чувства?;1
у тебя есть имя?;1
на улице пасмурно;1
что делать с магнитными бурями;1
что выпить, чтобы успокоить нервы?;1
бесишь;1
меня зовут вася, а тебя как;1
валокордин помогает?;1
у меня болит голова. стоит ли принимать цитромон?;1
что делать, если ломит суставы?;1
как дела?;1
мне грустно;1
когда будет лето?;1
а ты умеешь думать?;1
мне нужно записаться к врачу;3
мне нужно записаться к терапевту;3
мне нужно записаться к кардиологу;3
мне нужно записаться к гастроэнтерологу;3
как записаться к врачу?;3
вызвать участкового;3
прием офтальмолога;3
прием уролога;3
